Reactant,TS,Product,eR,eTS,eP,GR,GTS,GP,deTSR,deTSP,dePR,dGTSR,dGTSP,dGPR
1057_MA-TS_46-47_Reactant,1057_MA-TS_46-47,1057_MA-TS_46-47_Product,-0.400962513149,-0.399753476544,-0.407229113796,0.326895,0.324886,0.316897,0.76,4.69,-3.93,-1.26,5.01,-6.27
1062_MA-TS_45-46_Reactant,1062_MA-TS_45-46,1062_MA-TS_45-46_Product,-0.423801599032,-0.426821962346,-0.442885367785,0.271896,0.27055,0.25603,-1.9,10.08,-11.98,-0.84,9.11,-9.96
1065_MA-TS_48-49_Reactant,1065_MA-TS_48-49,1065_MA-TS_48-49_Product,-0.448537778246,-0.445389594545,-0.446301861759,0.318311,0.324906,0.325323,1.98,0.57,1.4,4.14,-0.26,4.4
1066_MA-TS_49-50_Reactant,1066_MA-TS_49-50,1066_MA-TS_49-50_Product,-0.373367972286,-0.38052649372,-0.388173793884,0.431176,0.427953,0.420556,-4.49,4.8,-9.29,-2.02,4.64,-6.66
1068_MA-TS_49-50_Reactant,1068_MA-TS_49-50,1068_MA-TS_49-50_Product,-0.65702327192,-0.65635248428,-0.683217961909,0.044688,0.046762,0.027414,0.42,16.86,-16.44,1.3,12.14,-10.84
1070_MA-TS_49-50_Reactant,1070_MA-TS_49-50,1070_MA-TS_49-50_Product,-0.444016816319,-0.441523558442,-0.467197998799,0.343521,0.345992,0.326214,1.56,16.11,-14.55,1.55,12.41,-10.86
1071_MA-TS_46-47_Reactant,1071_MA-TS_46-47,1071_MA-TS_46-47_Product,-0.442658806604,-0.452081724303,-0.461147088705,0.283472,0.277299,0.264015,-5.91,5.69,-11.6,-3.87,8.34,-12.21
1073_MA-TS_48-49_Reactant,1073_MA-TS_48-49,1073_MA-TS_48-49_Product,-0.541325269555,-0.533674118134,-0.541788816805,0.187505,0.183837,0.176974,4.8,5.09,-0.29,-2.3,4.31,-6.61
1075_MA-TS_49-50_Reactant,1075_MA-TS_49-50,1075_MA-TS_49-50_Product,-0.427500776888,-0.433094852563,-0.438146555163,0.344158,0.342449,0.335048,-3.51,3.17,-6.68,-1.07,4.64,-5.72
1076_MA-TS_39-40_Reactant,1076_MA-TS_39-40,1076_MA-TS_39-40_Product,-0.322481204729,-0.322548815905,-0.325466036467,0.370906,0.372652,0.367862,-0.04,1.83,-1.87,1.1,3.01,-1.91
1077_MA-TS_44-45_Reactant,1077_MA-TS_44-45,1077_MA-TS_44-45_Product,-0.475962854361,-0.477533396484,-0.491694204196,0.218624,0.219039,0.209257,-0.99,8.89,-9.87,0.26,6.14,-5.88
