Reactant,Datapoint,Product,eR,eTS,eP,GR,GTS,GP,deTSR,deTSP,dePR,dGTSR,dGTSP,dGPR
1554_MA-TS_37-38_Reactant,1554_MA-TS_37-38,1554_MA-TS_37-38_Product,-2526.65023273,-2526.62712896,-2526.62992305,-2526.000155,-2525.972153,-2525.974865,14.5,1.75,12.74,17.57,1.7,15.87
1558_MA-TS_38-39_Reactant,1558_MA-TS_38-39,1558_MA-TS_38-39_Product,-2565.93129216,-2565.92086149,-2565.92879439,-2565.253142,-2565.240001,-2565.244783,6.55,4.98,1.57,8.25,3.0,5.25
1560_MA-TS_41-42_Reactant,1560_MA-TS_41-42,1560_MA-TS_41-42_Product,-2719.62310595,-2719.5945929,-2719.59697213,-2718.884334,-2718.857692,-2718.858536,17.89,1.49,16.4,16.72,0.53,16.19
1561_MA-TS_41-42_Reactant,1561_MA-TS_41-42,1561_MA-TS_41-42_Product,-2718.37185807,-2718.36752001,-2718.37524747,-2717.650453,-2717.643764,-2717.650432,2.72,4.85,-2.13,4.2,4.18,0.01
1568_MA-TS_39-40_Reactant,1568_MA-TS_39-40,1568_MA-TS_39-40_Product,-2641.07379406,-2641.04057032,-2641.06335273,-2640.388066,-2640.351878,-2640.374094,20.85,14.3,6.55,22.71,13.94,8.77
1569_MA-TS_35-36_Reactant,1569_MA-TS_35-36,1569_MA-TS_35-36_Product,-2469.1677695,-2469.13720536,-2469.14040384,-2468.560966,-2468.530278,-2468.532723,19.18,2.01,17.17,19.26,1.53,17.72
1573_MA-TS_35-36_Reactant,1573_MA-TS_35-36,1573_MA-TS_35-36_Product,-2453.09573669,-2453.07742242,-2453.08574083,-2452.475905,-2452.460175,-2452.468811,11.49,5.22,6.27,9.87,5.42,4.45
1574_MA-TS_10-11_Reactant,1574_MA-TS_10-11,1574_MA-TS_10-11_Product,-2300.61961206,-2300.59464065,-2300.60635661,-2300.041235,-2300.014761,-2300.02516,15.67,7.35,8.32,16.61,6.53,10.09
1575_MA-TS_10-11_Reactant,1575_MA-TS_10-11,1575_MA-TS_10-11_Product,-2456.45405985,-2456.41686749,-2456.4254983,-2455.790127,-2455.755126,-2455.761512,23.34,5.42,17.92,21.96,4.01,17.96
1576_MA-TS_30-31_Reactant,1576_MA-TS_30-31,1576_MA-TS_30-31_Product,-2379.14257888,-2379.1383838,-2379.14625007,-2378.511718,-2378.505206,-2378.512483,2.63,4.94,-2.3,4.09,4.57,-0.48
1577_MA-TS_15-16_Reactant,1577_MA-TS_15-16,1577_MA-TS_15-16_Product,-2225.47236605,-2225.44648188,-2225.45302713,-2224.897438,-2224.869982,-2224.875043,16.24,4.11,12.14,17.23,3.18,14.05
1578_MA-TS_4-5_Reactant,1578_MA-TS_4-5,1578_MA-TS_4-5_Product,-2359.5345375,-2359.51155371,-2359.52615261,-2359.089197,-2359.065475,-2359.079072,14.42,9.16,5.26,14.89,8.53,6.35
1582_MA-TS_15-16_Reactant,1582_MA-TS_15-16,1582_MA-TS_15-16_Product,-2324.60362967,-2324.59126818,-2324.59524553,-2324.03972,-2324.025699,-2324.026744,7.76,2.5,5.26,8.8,0.66,8.14
1583_MA-TS_15-16_Reactant,1583_MA-TS_15-16,1583_MA-TS_15-16_Product,-2684.94245542,-2684.92010969,-2684.92747026,-2684.378622,-2684.353207,-2684.360646,14.02,4.62,9.4,15.95,4.67,11.28
1585_MA-TS_15-16_Reactant,1585_MA-TS_15-16,1585_MA-TS_15-16_Product,-2684.9252071,-2684.91189029,-2684.93535724,-2684.3664,-2684.347759,-2684.368296,8.36,14.73,-6.37,11.7,12.89,-1.19
1586_MA-TS_15-16_Reactant,1586_MA-TS_15-16,1586_MA-TS_15-16_Product,-2684.92866568,-2684.91070921,-2684.91756219,-2684.36702,-2684.346522,-2684.352275,11.27,4.3,6.97,12.86,3.61,9.25
1587_MA-TS_15-16_Reactant,1587_MA-TS_15-16,1587_MA-TS_15-16_Product,-2300.63164397,-2300.61415385,-2300.62757121,-2300.055222,-2300.034834,-2300.046119,10.98,8.42,2.56,12.79,7.08,5.71
1588_MA-TS_15-16_Reactant,1588_MA-TS_15-16,1588_MA-TS_15-16_Product,-2300.61394328,-2300.60131223,-2300.60522607,-2300.0397,-2300.023034,-2300.02403,7.93,2.46,5.47,10.46,0.62,9.83
1590_MA-TS_15-16_Reactant,1590_MA-TS_15-16,1590_MA-TS_15-16_Product,-2300.62032111,-2300.6077703,-2300.60966241,-2300.043813,-2300.027406,-2300.029455,7.88,1.19,6.69,10.3,1.29,9.01
1591_MA-TS_15-16_Reactant,1591_MA-TS_15-16,1591_MA-TS_15-16_Product,-2324.5952278,-2324.57839042,-2324.59817283,-2324.032116,-2324.016176,-2324.031909,10.57,12.41,-1.85,10.0,9.87,0.13
1592_MA-TS_4-5_Reactant,1592_MA-TS_4-5,1592_MA-TS_4-5_Product,-2744.77633647,-2744.76226748,-2744.76940205,-2744.251829,-2744.235671,-2744.241124,8.83,4.48,4.35,10.14,3.42,6.72
1594_MA-TS_15-16_Reactant,1594_MA-TS_15-16,1594_MA-TS_15-16_Product,-2423.72371662,-2423.70699004,-2423.71339984,-2423.173127,-2423.15186,-2423.156581,10.5,4.02,6.47,13.35,2.96,10.38
1599_MA-TS_15-16_Reactant,1599_MA-TS_15-16,1599_MA-TS_15-16_Product,-2344.44126985,-2344.42528835,-2344.43329179,-2343.889318,-2343.875195,-2343.879953,10.03,5.02,5.01,8.86,2.99,5.88
1601_MA-TS_15-16_Reactant,1601_MA-TS_15-16,1601_MA-TS_15-16_Product,-2443.58735977,-2443.55595481,-2443.55795533,-2443.044343,-2443.010312,-2443.012528,19.71,1.26,18.45,21.35,1.39,19.96
1604_MA-TS_9-10_Reactant,1604_MA-TS_9-10,1604_MA-TS_9-10_Product,-1822.89421406,-1822.89110013,-1822.91637157,-1822.536409,-1822.532124,-1822.557559,1.95,15.86,-13.9,2.69,15.96,-13.27
