Reactant,Datapoint,Product,deTSR_refDZ,deTSP_refDZ,dePR_refDZ,dGTSR_refDZ,dGTSP_refDZ,dGPR_refDZ,deTSR_PM7,deTSP_PM7,dePR_PM7,dGTSR_PM7,dGTSP_PM7,dGPR_PM7
296_MA-TS_30-31_Reactant,296_MA-TS_30-31,296_MA-TS_30-31_Product,14.75,0.21,14.54,15.71,0.48,15.23,-1.79,2.76,-4.55,1.51,4.33,-2.82
300_MA-TS_10-11_Reactant,300_MA-TS_10-11,300_MA-TS_10-11_Product,3.1,2.1,1.0,6.58,2.18,4.4,-0.52,5.45,-5.97,2.09,2.5,-0.41
304_MA-TS_13-14_Reactant,304_MA-TS_13-14,304_MA-TS_13-14_Product,0.55,1.27,-0.72,0.65,0.84,-0.19,-4.51,11.05,-15.56,-3.59,9.87,-13.47
308_MA-TS_29-30_Reactant,308_MA-TS_29-30,308_MA-TS_29-30_Product,9.26,2.37,6.89,11.67,3.7,7.96,-2.22,6.03,-8.25,1.41,4.89,-3.48
309_MA-TS_30-31_Reactant,309_MA-TS_30-31,309_MA-TS_30-31_Product,11.42,12.87,-1.45,11.83,10.12,1.71,1.01,17.09,-16.08,3.22,5.83,-2.61
310_MA-TS_41-42_Reactant,310_MA-TS_41-42,310_MA-TS_41-42_Product,11.72,8.45,3.27,12.4,7.1,5.3,0.86,13.65,-12.79,0.78,11.22,-10.44
318_MA-TS_29-30_Reactant,318_MA-TS_29-30,318_MA-TS_29-30_Product,4.98,5.34,-0.36,8.42,5.12,3.3,0.04,12.38,-12.34,1.23,13.1,-11.88
323_MA-TS_20-21_Reactant,323_MA-TS_20-21,323_MA-TS_20-21_Product,3.74,2.26,1.49,5.14,1.03,4.11,-0.11,9.49,-9.6,-0.09,7.71,-7.79
324_MA-TS_12-13_Reactant,324_MA-TS_12-13,324_MA-TS_12-13_Product,1.98,4.63,-2.65,3.61,3.19,0.42,-9.42,12.08,-21.5,-6.97,11.6,-18.57
325_MA-TS_41-42_Reactant,325_MA-TS_41-42,325_MA-TS_41-42_Product,11.36,0.36,11.0,11.5,-0.18,11.67,-2.76,3.47,-6.23,0.52,5.21,-4.69
