Reactant,Datapoint,Product,eR,eTS,eP,GR,GTS,GP,deTSR,deTSP,dePR,dGTSR,dGTSP,dGPR,HR,HTS,HP,freqR,freqTS,freqP,irR,irTS,irP,dipoleR,dipoleTS,dipoleP,homoR,homoTS,homoP,lumoR,lumoTS,lumoP,qhirshR,qhirshTS,qhirshP
618_MA-TS_33-34_Reactant,618_MA-TS_33-34,618_MA-TS_33-34_Product,-0.116419841657,-0.117764976419,-0.157877715443,0.399333,0.401254,0.36474,-0.84,25.17,-26.02,1.21,22.91,-21.71,0.506421,0.505397,0.466576,-169.5672,-225.0101,-186.0068,0.0291,220.1994,0.2021,10.0693,54.6019,9.3345,-0.15509,-0.16523,-0.17379,0.05084,0.04983,0.05583,3.2e-05,3.1e-05,3e-05
620_MA-TS_26-27_Reactant,620_MA-TS_26-27,620_MA-TS_26-27_Product,-0.812388641816,-0.786033940744,-0.116611840746,0.29152,0.294456,0.263167,16.54,-420.07,436.61,1.84,19.63,-17.79,0.382904,0.387517,0.350142,-806.6989,-221.8724,-633.2896,26.5872,0.1237,23.6976,6.8285,61.6868,6.5203,-0.16528,-0.16613,-0.17282,0.06537,0.06516,0.06317,-91.017039,-90.972082,-91.39914
622_MA-TS_28-29_Reactant,622_MA-TS_28-29,622_MA-TS_28-29_Product,-0.207922543817,-0.200447020668,-0.257361202618,0.157372,0.166215,0.109142,4.69,35.71,-31.02,5.55,35.81,-30.26,0.24636,0.251934,0.19665,-312.0821,-390.4579,-863.8421,9.5954,15.6333,50.7853,22.4406,39.8313,5.8664,-0.1447,-0.1604,-0.18197,0.03562,0.04463,0.06442,-89.478625,-89.390341,-89.975376
626_MA-TS_34-35_Reactant,626_MA-TS_34-35,626_MA-TS_34-35_Product,-0.125678247258,-0.12204417373,-0.167625603258,0.404464,0.408867,0.377147,2.28,28.6,-26.32,2.76,19.9,-17.14,0.513973,0.517247,0.477807,-141.432,-493.7804,-498.5733,1.4853,21.8016,86.4453,12.4853,55.8139,10.1881,-0.15555,-0.14243,-0.18183,0.05762,0.05872,0.07231,4e-05,4.2e-05,4.2e-05
628_MA-TS_31-32_Reactant,628_MA-TS_31-32,628_MA-TS_31-32_Product,-0.160157936405,-0.159609261426,-0.193011164439,0.304662,0.309731,0.279251,0.34,20.96,-20.62,3.18,19.13,-15.95,0.402728,0.403681,0.375769,-562.0677,-779.9599,-597.9062,32.8836,21.8362,151.8081,8.5817,64.6854,11.51,-0.16861,-0.16775,-0.16868,0.06387,0.07144,0.06596,3e-05,3e-05,3.1e-05
638_MA-TS_37-38_Reactant,638_MA-TS_37-38,638_MA-TS_37-38_Product,-0.178669757283,-0.172857042282,-0.230940038767,0.38701,0.393279,0.338504,3.65,36.45,-32.8,3.93,34.37,-30.44,0.49772,0.500111,0.447247,-169.0361,-346.1768,-167.447,1.0345,18.9765,0.4415,24.7363,72.7148,9.5996,-0.16251,-0.16824,-0.18382,0.02994,0.03071,0.0595,4.2e-05,4.4e-05,3.6e-05
642_MA-TS_35-36_Reactant,642_MA-TS_35-36,642_MA-TS_35-36_Product,-0.459782459525,-0.529172065553,-0.982597890493,0.542394,0.532754,0.485821,-43.54,284.53,-328.07,-6.05,29.45,-35.5,0.64317,0.63289,0.582491,-225.1889,-794.8614,-6847.9703,1.3612,29.3763,1391.5841,29.747,28.5855,18.0536,-0.14933,-0.15005,-0.15888,0.04675,0.04703,0.06158,4.2e-05,4.2e-05,4.1e-05
647_MA-TS_33-34_Reactant,647_MA-TS_33-34,647_MA-TS_33-34_Product,-0.121116840919,-0.118990972185,-0.158129721709,0.431247,0.435085,0.397267,1.33,24.56,-23.23,2.41,23.73,-21.32,0.536336,0.538807,0.502493,-189.1938,-202.8748,-173.4982,0.324,189.0567,0.2303,8.7453,60.1265,12.2422,-0.16054,-0.16542,-0.16331,0.06992,0.07782,0.07545,3.6e-05,3.6e-05,3.5e-05
650_MA-TS_29-30_Reactant,650_MA-TS_29-30,650_MA-TS_29-30_Product,-0.310447181294,-0.303538800197,-0.30593206589,0.203039,0.208351,0.208482,4.34,1.5,2.83,3.33,-0.08,3.42,0.293883,0.299457,0.29692,-232.1033,-271.9656,-339.5396,15.4201,10.843,16.2756,13.2167,41.762,11.6409,-0.16183,-0.16337,-0.15559,0.0474,0.05337,0.05219,4.2e-05,4.2e-05,4.3e-05
657_MA-TS_33-34_Reactant,657_MA-TS_33-34,657_MA-TS_33-34_Product,-0.270153520481,-0.269620368262,-0.277576364032,0.349636,0.353691,0.342227,0.33,4.99,-4.66,2.54,7.19,-4.65,0.450502,0.450447,0.446299,-170.4922,-721.5918,-178.6397,0.1159,22.4543,1.1982,16.8836,51.5856,12.8307,-0.14817,-0.15958,-0.15499,0.0617,0.06237,0.06714,4.5e-05,4.5e-05,4.4e-05
